node_id,resort_name,region,christmas_new_years,mlk_weekend,presidents_weekend,peak_saturdays,peak_sundays,additional_dates
9005,Berkshire East,East,PARTIAL,X,X,PARTIAL,X,2025-12-21;2025-12-26..2026-01-02;2026-01-19;2026-02-16..2026-02-20
9002,Waterville Valley,East,X,X,X,X,,2025-11-30;2025-12-01..2025-12-13;2026-01-08..2026-01-09;2026-01-13..2026-01-16;2026-01-22..2026-01-23;2026-01-30;2026-02-06;2026-02-08..2026-02-10;2026-02-12..2026-02-13;2026-02-17..2026-02-21;2026-03-01..2026-03-02;2026-03-22..2026-03-23
9003,Pats Peak,East,PARTIAL,X,X,X,X,
9004,Tenney Mountain,East,PARTIAL,X,,,,2026-01-01..2026-01-04;2026-01-17..2026-01-19
9009,Greek Peak,East,,,,,,
9017,Blacktail Mountain,West,X,,,,,
9020,Eagle Point,West,PARTIAL,X,X,,,2025-12-25..2026-01-03
9023,Shawnee Mountain,East,X,X,X,,,
9021,Massanutten Resort,East,X,X,X,,,
9022,Marquette Mountain,Midwest,X,,X,,,
9025,Mt. Holiday,Midwest,X,X,X,,,
9024,Centre Vorlage,East,,,,,,
